sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,0x0800,6,*,443,*,52.46.157.6,forward
<sMAC>,*,0x0800,6,*,443,*,176.32.101.122,forward
<sMAC>,*,0x0800,17,*,123,*,72.30.35.89,forward
<sMAC>,*,*,2,*,*,*,224.0.0.22,forward
<sMAC>,*,0x0800,17,*,1900,*,239.255.255.250,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,17,*,123,*,34.226.24.249,forward
<sMAC>,*,0x0800,6,*,443,*,52.46.133.19,forward
*,*,0x0800,1,*,*,*,*,forward
<sMAC>,*,0x0800,6,*,80,*,93.184.216.34,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,*,0x0800,6,*,443,*,52.119.169.224,forward
<sMAC>,*,0x0800,6,*,443,*,52.94.211.45,forward
<sMAC>,*,0x0800,17,*,53,*,208.67.220.220,forward
<sMAC>,*,0x0800,6,*,443,*,52.217.134.233,forward
<sMAC>,*,0x0800,6,*,443,*,13.227.142.58,forward
<sMAC>,*,0x0800,17,*,123,*,167.248.49.102,forward
<sMAC>,*,0x0800,6,*,443,*,34.120.225.113,forward
*,*,0x0800,17,*,67,*,*,forward
<sMAC>,*,0x0800,17,*,123,*,65.100.46.166,forward
<sMAC>,*,0x0800,6,*,80,*,176.32.98.203,forward
<sMAC>,*,0x0800,6,*,443,*,54.209.44.8,forward
<sMAC>,*,0x0800,6,*,443,*,13.227.166.55,forward
<sMAC>,*,0x0800,17,*,5353,*,224.0.0.251,forward
<sMAC>,*,0x0800,17,*,33434,*,23.23.78.50,forward
<sMAC>,*,0x0800,6,*,443,*,13.227.138.23,forward
<sMAC>,*,0x0800,17,*,123,*,206.81.5.45,forward
*,<dMAC>,0x0800,17,123,*,72.30.35.89,*,forward
*,<dMAC>,0x0800,17,123,*,34.226.24.249,*,forward
*,<dMAC>,0x0800,6,443,*,13.227.142.58,*,forward
*,<dMAC>,0x0800,6,443,*,52.94.211.45,*,forward
*,<dMAC>,0x0800,17,123,*,65.100.46.166,*,forward
*,<dMAC>,0x0800,6,443,*,52.46.133.19,*,forward
*,<dMAC>,0x0800,17,123,*,167.248.49.102,*,forward
*,<dMAC>,0x0800,17,123,*,206.81.5.45,*,forward
*,<dMAC>,0x0800,6,80,*,93.184.216.34,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,17,53,*,208.67.220.220,*,forward
*,<dMAC>,0x0800,6,443,*,54.209.44.8,*,forward
*,<dMAC>,0x0800,6,443,*,52.217.134.233,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,<dMAC>,0x0800,6,443,*,52.46.157.6,*,forward
*,<dMAC>,0x0800,6,443,*,34.120.225.113,*,forward
*,<dMAC>,0x0800,6,443,*,13.227.166.55,*,forward
*,<dMAC>,0x0800,17,33434,*,23.23.78.50,*,forward
*,<dMAC>,0x0800,6,80,*,176.32.98.203,*,forward
*,<dMAC>,0x0800,6,443,*,13.227.138.23,*,forward
*,<dMAC>,0x0800,6,443,*,176.32.101.122,*,forward
*,*,0x0800,17,*,50000,*,*,forward
*,<dMAC>,0x0800,6,443,*,52.119.169.224,*,forward
