sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,0x0800,6,*,443,*,49.44.144.21,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,6,*,443,*,123.236.123.198,forward
<sMAC>,*,0x0800,6,*,443,*,63.33.20.234,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,*,0x0800,6,*,443,*,180.216.90.191,forward
<sMAC>,*,0x0800,6,*,443,*,151.42.150.61,forward
<sMAC>,*,0x0800,1,*,*,*,8.8.4.4,forward
<sMAC>,*,0x0800,6,*,443,*,50.127.69.24,forward
<sMAC>,*,0x0800,1,*,*,*,52.208.211.213,forward
<sMAC>,*,0x0800,6,*,443,*,93.93.53.228,forward
<sMAC>,*,0x0800,6,*,443,*,13.224.226.89,forward
<sMAC>,*,0x0800,17,*,53,*,8.8.8.8,forward
*,*,0x0800,17,*,67,*,*,forward
<sMAC>,*,0x0800,6,*,443,*,61.249.21.53,forward
<sMAC>,*,0x0800,6,*,443,*,168.190.49.30,forward
<sMAC>,*,0x0800,6,*,443,*,18.179.18.153,forward
<sMAC>,*,0x0800,6,*,443,*,3.248.23.131,forward
<sMAC>,*,0x0800,6,*,443,*,52.92.176.136,forward
<sMAC>,*,0x0800,6,*,443,*,85.83.148.116,forward
<sMAC>,*,0x0800,6,*,443,*,52.208.211.213,forward
<sMAC>,*,0x0800,6,*,443,*,99.81.169.172,forward
<sMAC>,*,0x0800,6,*,443,*,71.209.142.223,forward
<sMAC>,*,0x0800,6,*,443,*,244.143.101.46,forward
<sMAC>,*,0x0800,6,*,443,*,71.7.238.133,forward
<sMAC>,*,0x0800,6,*,443,*,167.195.9.35,forward
<sMAC>,*,0x0800,1,*,*,*,8.8.8.8,forward
*,<dMAC>,0x0800,6,443,*,93.93.53.228,*,forward
*,<dMAC>,0x0800,6,443,*,18.179.18.153,*,forward
*,<dMAC>,0x0800,6,443,*,123.236.123.198,*,forward
*,<dMAC>,0x0800,6,443,*,52.92.176.136,*,forward
*,<dMAC>,0x0800,6,443,*,3.248.23.131,*,forward
*,<dMAC>,0x0800,6,443,*,49.44.144.21,*,forward
*,<dMAC>,0x0800,6,443,*,61.249.21.53,*,forward
*,<dMAC>,0x0800,6,443,*,167.195.9.35,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,1,*,*,52.208.211.213,*,forward
*,<dMAC>,0x0800,17,53,*,8.8.8.8,*,forward
*,<dMAC>,0x0800,6,443,*,71.209.142.223,*,forward
*,<dMAC>,0x0800,6,443,*,85.83.148.116,*,forward
*,<dMAC>,0x0800,6,443,*,50.127.69.24,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,<dMAC>,0x0800,6,443,*,13.224.226.89,*,forward
*,<dMAC>,0x0800,6,443,*,63.33.20.234,*,forward
*,<dMAC>,0x0800,6,443,*,168.190.49.30,*,forward
*,<dMAC>,0x0800,6,443,*,244.143.101.46,*,forward
*,<dMAC>,0x0800,6,443,*,52.208.211.213,*,forward
*,<dMAC>,0x0800,6,443,*,151.42.150.61,*,forward
*,<dMAC>,0x0800,6,443,*,71.7.238.133,*,forward
*,<dMAC>,0x0800,1,*,*,8.8.8.8,*,forward
*,<dMAC>,0x0800,1,*,*,8.8.4.4,*,forward
*,<dMAC>,0x0800,6,443,*,99.81.169.172,*,forward
*,<dMAC>,0x0800,6,443,*,180.216.90.191,*,forward
*,*,*,17,*,547,*,*,forward
*,*,*,58,*,*,*,*,forward
*,*,*,17,*,53,*,*,forward
*,*,*,0,*,*,*,*,forward
*,*,*,17,547,*,*,*,forward
*,*,*,17,53,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
*,*,0x888e,*,*,*,*,*,forward
