sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,0x0800,6,*,1935,*,89.30.121.16,forward
<sMAC>,*,0x0800,6,*,1935,*,212.83.131.103,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,6,*,1935,*,212.129.35.39,forward
<sMAC>,*,0x0800,6,*,1935,*,195.154.50.167,forward
<sMAC>,*,0x0800,6,*,1935,*,93.78.4.172,forward
<sMAC>,*,0x0800,17,*,5353,*,224.0.0.251,forward
<sMAC>,*,0x0800,6,*,1935,*,117.238.236.136,forward
<sMAC>,*,0x0800,6,*,80,*,89.30.121.170,forward
*,<dMAC>,0x0800,6,80,*,89.30.121.170,*,forward
*,<dMAC>,0x0800,6,1935,*,212.129.35.39,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,6,1935,*,117.238.236.136,*,forward
*,<dMAC>,0x0800,6,1935,*,212.83.131.103,*,forward
*,<dMAC>,0x0800,6,1935,*,195.154.50.167,*,forward
*,<dMAC>,0x0800,6,1935,*,89.30.121.16,*,forward
*,<dMAC>,0x0800,6,1935,*,93.78.4.172,*,forward
