sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
*,*,0x0800,17,*,67,*,*,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,*,0x0800,6,*,443,*,241.90.177.248,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,6,*,443,*,149.151.15.25,forward
<sMAC>,*,0x0800,6,*,443,*,112.246.154.74,forward
*,*,0x0800,17,53,*,*,*,forward
*,<dMAC>,0x0800,6,443,*,241.90.177.248,*,forward
*,<dMAC>,0x0800,6,443,*,149.151.15.25,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,6,443,*,112.246.154.74,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
