sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,0x0800,6,*,443,*,52.203.180.238,forward
<sMAC>,*,0x0800,6,*,8443,*,50.17.242.103,forward
*,*,0x0800,6,*,5104,*,*,forward
*,*,0x0800,17,*,67,*,*,forward
<sMAC>,*,0x0800,17,*,1900,*,239.255.255.250,forward
*,*,0x0800,6,*,3478,*,*,forward
*,*,0x0800,1,*,*,*,*,forward
<sMAC>,*,0x0800,1,*,*,*,52.0.133.46,forward
<sMAC>,*,0x0800,6,*,3475,*,54.225.129.67,forward
<sMAC>,*,0x0800,6,*,8899,*,52.23.33.88,forward
*,*,0x0800,6,9207,*,*,*,forward
<sMAC>,*,0x0800,17,*,123,*,40.81.94.65,forward
<sMAC>,*,*,2,*,*,*,239.255.255.250,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,*,0x0800,6,*,5104,*,52.203.180.238,forward
*,*,0x0800,6,49154,*,*,*,forward
*,*,0x0800,17,*,*,*,*,forward
<sMAC>,*,0x0800,6,*,3475,*,3.229.218.222,forward
<sMAC>,*,*,2,*,*,*,224.0.0.2,forward
<sMAC>,*,0x0800,1,*,*,*,142.250.196.68,forward
<sMAC>,*,0x0800,17,*,53,*,8.8.8.8,forward
*,*,0x0800,6,49153,*,*,*,forward
*,<dMAC>,0x0800,1,*,*,52.0.133.46,*,forward
*,<dMAC>,0x0800,6,443,*,52.203.180.238,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,<dMAC>,0x0800,6,5104,*,52.203.180.238,*,forward
*,*,0x0800,6,*,49153,*,*,forward
*,<dMAC>,0x0800,6,8899,*,52.23.33.88,*,forward
*,*,0x0800,6,*,9207,*,*,forward
*,<dMAC>,0x0800,17,123,*,40.81.94.65,*,forward
*,*,0x0800,6,*,49154,*,*,forward
*,<dMAC>,0x0800,1,*,*,142.250.196.68,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,*,0x0800,6,5104,*,*,*,forward
*,<dMAC>,0x0800,17,53,*,8.8.8.8,*,forward
*,<dMAC>,0x0800,6,3475,*,54.225.129.67,*,forward
*,*,0x0800,6,3478,*,*,*,forward
*,<dMAC>,0x0800,6,3475,*,3.229.218.222,*,forward
*,<dMAC>,0x0800,6,8443,*,50.17.242.103,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
