sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
*,*,0x0800,17,*,67,*,*,forward
<sMAC>,*,0x0800,6,*,80,*,34.230.213.152,forward
<sMAC>,*,0x0800,6,*,443,*,54.81.1.62,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,6,*,80,*,82.165.8.211,forward
<sMAC>,*,0x0800,6,*,443,*,3.227.136.10,forward
<sMAC>,*,0x0800,6,*,443,*,174.129.122.138,forward
<sMAC>,*,0x0800,6,*,443,*,54.237.139.26,forward
<sMAC>,*,0x0800,6,*,443,*,3.214.179.148,forward
<sMAC>,*,0x0800,6,*,80,*,52.200.251.249,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,*,0x0800,6,*,443,*,52.200.251.249,forward
<sMAC>,*,0x0800,6,*,443,*,34.230.213.152,forward
*,<dMAC>,0x0800,6,443,*,52.200.251.249,*,forward
*,<dMAC>,0x0800,6,443,*,3.227.136.10,*,forward
*,<dMAC>,0x0800,6,80,*,52.200.251.249,*,forward
*,<dMAC>,0x0800,6,443,*,174.129.122.138,*,forward
*,<dMAC>,0x0800,6,80,*,34.230.213.152,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,<dMAC>,0x0800,6,443,*,3.214.179.148,*,forward
*,<dMAC>,0x0800,6,443,*,34.230.213.152,*,forward
*,<dMAC>,0x0800,6,80,*,82.165.8.211,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,6,443,*,54.237.139.26,*,forward
*,<dMAC>,0x0800,6,443,*,54.81.1.62,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
