sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,0x0800,6,*,443,*,142.250.196.166,forward
<sMAC>,*,*,2,*,*,*,224.0.0.251,forward
<sMAC>,*,0x0800,17,*,443,*,142.250.195.34,forward
<sMAC>,*,0x0800,17,*,443,*,142.250.182.74,forward
<sMAC>,*,0x0800,6,*,443,*,172.217.160.138,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,*,0x0800,6,*,443,*,172.217.31.208,forward
<sMAC>,*,0x0800,6,*,443,*,142.250.196.2,forward
<sMAC>,*,0x0800,17,*,443,*,142.250.77.174,forward
*,*,0x0800,6,8009,*,*,*,forward
<sMAC>,*,0x0800,17,*,443,*,203.5.76.204,forward
<sMAC>,*,0x0800,17,*,53,*,8.8.8.8,forward
<sMAC>,*,0x0800,6,*,80,*,142.250.195.238,forward
<sMAC>,*,0x0800,6,*,443,*,142.250.205.225,forward
<sMAC>,*,0x0800,17,*,443,*,142.250.67.46,forward
<sMAC>,*,0x0800,6,*,443,*,172.217.166.99,forward
<sMAC>,*,0x0800,6,*,443,*,216.58.196.174,forward
<sMAC>,*,0x0800,6,*,443,*,142.250.77.174,forward
<sMAC>,*,0x0800,17,*,443,*,142.250.196.166,forward
<sMAC>,*,0x0800,6,*,80,*,172.217.166.99,forward
<sMAC>,*,0x0800,17,*,123,*,216.239.35.8,forward
<sMAC>,*,0x0800,1,*,*,*,8.8.8.8,forward
<sMAC>,*,0x0800,6,*,443,*,142.250.195.42,forward
<sMAC>,*,0x0800,6,*,80,*,142.250.77.142,forward
<sMAC>,*,0x0800,17,*,443,*,142.250.195.161,forward
<sMAC>,*,0x0800,6,*,443,*,142.250.71.35,forward
<sMAC>,*,0x0800,6,*,443,*,142.250.195.161,forward
<sMAC>,*,*,2,*,*,*,239.255.255.250,forward
<sMAC>,*,0x0800,17,*,443,*,142.250.195.227,forward
<sMAC>,*,0x0800,17,*,443,*,142.250.195.238,forward
<sMAC>,*,0x0800,6,*,443,*,142.250.195.246,forward
<sMAC>,*,0x0800,6,*,443,*,142.250.195.162,forward
<sMAC>,*,0x0800,6,*,443,*,142.250.77.142,forward
<sMAC>,*,0x0800,17,*,443,*,142.250.195.42,forward
