sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,0x0800,17,*,123,*,178.215.228.24,forward
<sMAC>,*,0x0800,6,*,443,*,35.225.34.181,forward
*,*,0x0800,17,*,67,*,*,forward
<sMAC>,*,0x0800,6,*,443,*,130.211.135.74,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,17,*,53,*,8.8.4.4,forward
<sMAC>,*,0x0800,17,*,53,*,8.8.8.8,forward
*,<dMAC>,0x0800,6,443,*,35.225.34.181,*,forward
*,<dMAC>,0x0800,6,443,*,130.211.135.74,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,17,53,*,8.8.8.8,*,forward
*,<dMAC>,0x0800,17,53,*,8.8.4.4,*,forward
*,<dMAC>,0x0800,17,123,*,178.215.228.24,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
