sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
*,*,0x0800,17,*,67,*,*,forward
<sMAC>,*,0x0800,6,*,80,*,34.254.12.117,forward
<sMAC>,*,*,2,*,*,*,224.0.0.22,forward
<sMAC>,*,0x0800,6,*,443,*,184.51.195.178,forward
<sMAC>,*,0x0800,17,*,1900,*,239.255.255.250,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,17,*,123,*,216.239.35.4,forward
<sMAC>,*,0x0800,6,*,80,*,168.58.137.238,forward
<sMAC>,*,0x0800,17,*,123,*,216.239.35.12,forward
<sMAC>,*,0x0800,17,*,5353,*,224.0.0.251,forward
<sMAC>,*,0x0800,6,*,443,*,34.117.13.23,forward
<sMAC>,*,0x0800,6,*,80,*,34.117.13.189,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,*,0x0800,6,*,443,*,34.117.13.189,forward
<sMAC>,*,0x0800,17,*,123,*,216.239.35.8,forward
<sMAC>,*,0x0800,6,*,80,*,42.82.159.110,forward
<sMAC>,*,0x0800,17,*,123,*,216.239.35.0,forward
<sMAC>,*,0x0800,6,*,80,*,34.90.153.247,forward
*,*,0x0800,6,80,*,*,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,<dMAC>,0x0800,17,123,*,216.239.35.12,*,forward
*,<dMAC>,0x0800,6,443,*,34.117.13.189,*,forward
*,<dMAC>,0x0800,17,123,*,216.239.35.4,*,forward
*,<dMAC>,0x0800,6,80,*,34.117.13.189,*,forward
*,<dMAC>,0x0800,6,80,*,168.58.137.238,*,forward
*,<dMAC>,0x0800,6,80,*,34.254.12.117,*,forward
*,<dMAC>,0x0800,6,80,*,34.90.153.247,*,forward
*,<dMAC>,0x0800,6,443,*,184.51.195.178,*,forward
*,<dMAC>,0x0800,17,123,*,216.239.35.0,*,forward
*,<dMAC>,0x0800,17,123,*,216.239.35.8,*,forward
*,<dMAC>,0x0800,6,443,*,34.117.13.23,*,forward
*,<dMAC>,0x0800,6,80,*,42.82.159.110,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,*,0x0800,6,*,80,*,*,forward
*,*,*,0,*,*,*,*,forward
*,*,*,58,*,*,*,*,forward
*,*,*,17,*,5353,*,*,forward
