sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
*,*,0x0800,17,*,67,*,*,forward
<sMAC>,*,*,2,*,*,*,224.0.0.251,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,17,*,5353,*,224.0.0.251,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,*,0x0800,6,*,443,*,54.145.12.45,forward
<sMAC>,*,0x0800,6,*,80,*,34.200.24.141,forward
*,<dMAC>,0x0800,6,80,*,34.200.24.141,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,6,443,*,54.145.12.45,*,forward
*,*,*,0,*,*,*,*,forward
*,*,*,17,*,5353,*,*,forward
*,*,*,58,*,*,*,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
