sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,0x0800,17,*,123,*,178.215.228.24,forward
*,ff:ff:ff:ff:ff:ff,0x0800,17,*,56700,*,*,forward
*,*,0x0800,17,*,67,*,*,forward
*,*,0x0800,17,*,53,*,*,forward
*,*,0x0800,17,56700,*,*,*,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,6,*,56700,*,104.198.46.246,forward
<sMAC>,*,0x0800,17,*,53,*,8.8.8.8,forward
*,<dMAC>,0x0800,6,56700,*,104.198.46.246,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,17,53,*,8.8.8.8,*,forward
*,*,0x0800,17,*,56700,*,*,forward
*,<dMAC>,0x0800,17,123,*,178.215.228.24,*,forward
*,*,*,58,*,*,*,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
