sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,0x0800,6,*,11095,*,35.169.103.197,forward
<sMAC>,*,0x0800,6,*,11095,*,35.173.5.140,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,6,*,11095,*,23.21.35.18,forward
<sMAC>,*,0x0800,6,*,11095,*,54.88.60.177,forward
<sMAC>,*,0x0800,6,*,11095,*,34.231.84.50,forward
<sMAC>,*,0x0800,6,*,11095,*,18.210.94.215,forward
<sMAC>,*,0x0800,6,*,11095,*,18.232.10.234,forward
<sMAC>,*,0x0800,6,*,11095,*,35.229.61.236,forward
<sMAC>,*,0x0800,6,*,11095,*,18.210.177.102,forward
<sMAC>,*,0x0800,6,*,11095,*,54.175.232.176,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,*,0x0800,6,*,11095,*,35.170.100.192,forward
<sMAC>,*,0x0800,6,*,11095,*,34.235.1.216,forward
<sMAC>,*,0x0800,6,*,11095,*,18.205.224.178,forward
<sMAC>,*,0x0800,6,*,11095,*,23.21.37.86,forward
<sMAC>,*,0x0800,6,*,11095,*,52.44.40.33,forward
<sMAC>,*,0x0800,6,*,11095,*,35.171.224.183,forward
<sMAC>,*,0x0800,6,*,11095,*,18.210.177.236,forward
<sMAC>,*,0x0800,6,*,11095,*,217.162.249.43,forward
<sMAC>,*,0x0800,6,*,11095,*,18.209.96.101,forward
<sMAC>,*,0x0800,6,*,11095,*,35.171.66.143,forward
<sMAC>,*,0x0800,6,*,11095,*,54.156.213.123,forward
<sMAC>,*,0x0800,6,*,11095,*,18.204.60.159,forward
<sMAC>,*,0x0800,6,*,11095,*,54.82.247.3,forward
<sMAC>,*,0x0800,6,*,11095,*,52.206.238.53,forward
<sMAC>,*,0x0800,6,*,11095,*,18.210.169.92,forward
<sMAC>,*,0x0800,6,*,11095,*,18.210.170.114,forward
<sMAC>,*,0x0800,6,*,11095,*,23.20.70.43,forward
<sMAC>,*,0x0800,6,*,11095,*,35.188.154.186,forward
<sMAC>,*,0x0800,6,*,11095,*,52.55.205.241,forward
<sMAC>,*,0x0800,6,*,11095,*,158.126.127.18,forward
<sMAC>,*,0x0800,6,*,11095,*,18.210.177.39,forward
<sMAC>,*,0x0800,6,*,11095,*,58.148.226.2,forward
<sMAC>,*,0x0800,6,*,11095,*,35.174.82.237,forward
<sMAC>,*,0x0800,6,*,11095,*,34.238.177.2,forward
<sMAC>,*,0x0800,6,*,11095,*,18.204.66.99,forward
<sMAC>,*,0x0800,6,*,11095,*,52.86.244.94,forward
<sMAC>,*,0x0800,6,*,11095,*,147.83.29.157,forward
*,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,*,forward
<sMAC>,*,0x0800,6,*,11095,*,52.73.179.157,forward
<sMAC>,*,0x0800,6,*,11095,*,18.210.177.90,forward
<sMAC>,*,0x0800,6,*,11095,*,34.195.152.165,forward
<sMAC>,*,0x0800,6,*,11095,*,217.17.118.182,forward
<sMAC>,*,0x0800,6,*,11095,*,34.237.131.21,forward
<sMAC>,*,0x0800,6,*,11095,*,18.209.26.40,forward
<sMAC>,*,0x0800,6,*,11095,*,115.127.173.150,forward
<sMAC>,*,0x0800,6,*,11095,*,18.209.71.200,forward
<sMAC>,*,0x0800,6,*,11095,*,18.209.191.209,forward
<sMAC>,*,0x0800,6,*,11095,*,18.209.194.154,forward
*,<dMAC>,0x0800,6,11095,*,52.55.205.241,*,forward
*,<dMAC>,0x0800,6,11095,*,35.188.154.186,*,forward
*,<dMAC>,0x0800,6,11095,*,35.169.103.197,*,forward
*,<dMAC>,0x0800,6,11095,*,34.231.84.50,*,forward
*,<dMAC>,0x0800,6,11095,*,23.21.35.18,*,forward
