sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,0x0800,17,*,123,*,192.46.210.39,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,1,*,*,*,36.81.56.232,forward
<sMAC>,*,0x0800,17,*,4500,*,78.250.253.232,forward
<sMAC>,*,0x0800,17,*,500,*,23.111.169.180,forward
<sMAC>,*,0x0800,17,*,500,*,25.139.104.102,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,*,0x0800,1,*,*,*,198.82.141.191,forward
<sMAC>,*,0x0800,1,*,*,*,163.31.62.201,forward
<sMAC>,*,0x0800,1,*,*,*,78.250.253.232,forward
<sMAC>,*,0x0800,1,*,*,*,213.175.159.80,forward
*,*,0x0800,17,*,67,*,*,forward
<sMAC>,*,0x0800,17,*,4500,*,23.111.169.180,forward
<sMAC>,*,0x0800,1,*,*,*,25.139.104.102,forward
<sMAC>,*,0x0800,1,*,*,*,23.111.169.180,forward
<sMAC>,*,0x0800,6,*,80,*,142.250.77.142,forward
<sMAC>,*,0x0800,1,*,*,*,236.220.216.197,forward
<sMAC>,*,0x0800,6,*,443,*,51.145.143.28,forward
<sMAC>,*,0x0800,17,*,123,*,128.199.23.44,forward
<sMAC>,*,0x0800,17,*,500,*,78.250.253.232,forward
<sMAC>,*,0x0800,17,*,4500,*,25.139.104.102,forward
*,*,0x0800,6,80,*,*,*,forward
*,<dMAC>,0x0800,17,4500,*,25.139.104.102,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,<dMAC>,0x0800,1,*,*,163.31.62.201,*,forward
*,<dMAC>,0x0800,17,123,*,192.46.210.39,*,forward
*,<dMAC>,0x0800,1,*,*,213.175.159.80,*,forward
*,<dMAC>,0x0800,1,*,*,78.250.253.232,*,forward
*,<dMAC>,0x0800,6,80,*,142.250.77.142,*,forward
*,<dMAC>,0x0800,6,443,*,51.145.143.28,*,forward
*,<dMAC>,0x0800,17,500,*,23.111.169.180,*,forward
*,<dMAC>,0x0800,17,500,*,78.250.253.232,*,forward
*,<dMAC>,0x0800,17,500,*,25.139.104.102,*,forward
*,<dMAC>,0x0800,1,*,*,25.139.104.102,*,forward
*,<dMAC>,0x0800,17,123,*,128.199.23.44,*,forward
*,<dMAC>,0x0800,1,*,*,23.111.169.180,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,1,*,*,36.81.56.232,*,forward
*,<dMAC>,0x0800,17,4500,*,23.111.169.180,*,forward
*,<dMAC>,0x0800,1,*,*,198.82.141.191,*,forward
*,*,0x0800,6,*,80,*,*,forward
*,<dMAC>,0x0800,1,*,*,236.220.216.197,*,forward
*,<dMAC>,0x0800,17,4500,*,78.250.253.232,*,forward
*,*,*,58,*,*,*,*,forward
*,*,*,0,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
*,*,0x888e,*,*,*,*,*,forward
