sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
*,*,0x0800,17,*,67,*,*,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,6,*,443,*,104.17.127.1,forward
<sMAC>,*,0x0800,6,*,80,*,52.20.215.239,forward
<sMAC>,*,0x0800,6,*,9998,*,3.211.53.3,forward
<sMAC>,*,0x0800,17,*,123,*,139.59.15.185,forward
<sMAC>,*,0x0800,17,*,53,*,8.8.8.8,forward
*,<dMAC>,0x0800,6,80,*,52.20.215.239,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,<dMAC>,0x0800,17,123,*,139.59.15.185,*,forward
*,<dMAC>,0x0800,6,443,*,104.17.127.1,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,17,53,*,8.8.8.8,*,forward
*,<dMAC>,0x0800,6,9998,*,3.211.53.3,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
