sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,0x0800,17,*,123,*,49.12.125.53,forward
<sMAC>,*,*,2,*,*,*,224.0.0.251,forward
*,*,0x0800,6,*,*,*,*,forward
<sMAC>,*,*,2,*,*,*,224.0.0.22,forward
<sMAC>,*,0x0800,17,*,1900,*,239.255.255.250,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
*,*,0x0800,17,*,*,*,*,forward
<sMAC>,*,0x0800,17,*,123,*,178.215.228.24,forward
<sMAC>,*,*,2,*,*,*,239.255.255.250,forward
*,*,0x0800,17,*,53,*,*,forward
*,*,0x0800,6,49152,*,*,*,forward
<sMAC>,*,0x0800,6,*,5222,*,52.9.105.104,forward
*,*,0x0800,17,*,67,*,*,forward
<sMAC>,*,0x0800,17,*,123,*,192.46.215.60,forward
<sMAC>,*,0x0800,6,*,443,*,34.243.182.43,forward
<sMAC>,*,*,2,*,*,*,224.0.0.2,forward
*,*,0x0800,6,80,*,*,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,<dMAC>,0x0800,17,123,*,49.12.125.53,*,forward
*,<dMAC>,0x0800,17,123,*,192.46.215.60,*,forward
*,<dMAC>,0x0800,6,443,*,34.243.182.43,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,*,0x0800,6,*,49152,*,*,forward
*,*,0x0800,6,*,80,*,*,forward
*,<dMAC>,0x0800,6,5222,*,52.9.105.104,*,forward
*,<dMAC>,0x0800,17,123,*,178.215.228.24,*,forward
*,*,*,58,*,*,*,*,forward
*,*,*,17,*,1900,*,*,forward
*,*,*,17,*,5353,*,*,forward
*,*,*,0,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
*,*,0x888e,*,*,*,*,*,forward
