sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,0x0800,6,*,443,*,89.30.121.170,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,*,*,2,*,*,*,224.0.0.22,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,6,*,80,*,89.30.121.170,forward
<sMAC>,*,0x0800,17,*,5353,*,224.0.0.251,forward
*,*,0x0800,17,53,*,*,*,forward
*,<dMAC>,0x0800,6,443,*,89.30.121.170,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,6,80,*,89.30.121.170,*,forward
*,*,0x888e,*,*,*,*,*,forward
