sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,0x0800,17,*,123,*,178.215.228.24,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,*,0x0800,6,*,443,*,52.203.244.135,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,17,*,1900,*,239.255.255.250,forward
<sMAC>,*,0x0800,6,*,443,*,52.18.40.183,forward
*,*,0x0800,17,*,39402,*,*,forward
*,*,0x0800,17,*,39401,*,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,<dMAC>,0x0800,6,443,*,52.18.40.183,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,6,443,*,52.203.244.135,*,forward
*,*,0x0800,17,*,39400,*,*,forward
*,<dMAC>,0x0800,17,123,*,178.215.228.24,*,forward
