sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,*,2,*,*,*,224.0.0.1,forward
*,*,0x0800,17,*,67,*,*,forward
<sMAC>,*,0x0800,6,*,443,*,54.179.148.173,forward
<sMAC>,*,0x0800,17,*,123,*,162.159.200.1,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,6,*,80,*,54.179.148.173,forward
*,*,0x0800,17,*,*,*,*,forward
<sMAC>,*,0x0800,6,*,443,*,175.41.186.37,forward
<sMAC>,*,0x0800,17,*,5353,*,224.0.0.251,forward
<sMAC>,*,0x0800,17,*,3478,*,18.142.39.250,forward
*,*,0x0800,17,1068,*,*,*,forward
*,*,0x0800,17,*,53,*,*,forward
*,*,0x0800,6,8080,*,*,*,forward
<sMAC>,*,0x0800,6,*,80,*,54.169.243.209,forward
<sMAC>,*,*,2,*,*,*,224.0.0.2,forward
*,*,0x0800,6,80,*,*,*,forward
*,<dMAC>,0x0800,17,123,*,162.159.200.1,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,<dMAC>,0x0800,6,80,*,54.179.148.173,*,forward
*,<dMAC>,0x0800,6,443,*,54.179.148.173,*,forward
*,<dMAC>,0x0800,17,3478,*,18.142.39.250,*,forward
*,<dMAC>,0x0800,6,443,*,175.41.186.37,*,forward
*,*,0x0800,6,*,8080,*,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,6,80,*,54.169.243.209,*,forward
*,*,0x0800,6,*,80,*,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
