sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,0x0800,17,*,123,*,192.36.143.130,forward
*,*,0x0800,17,*,67,*,*,forward
<sMAC>,*,0x0800,6,*,50443,*,175.41.186.37,forward
<sMAC>,*,0x0800,17,*,123,*,130.255.77.87,forward
<sMAC>,*,0x0800,17,*,123,*,202.112.1.34,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,17,*,123,*,129.6.15.29,forward
<sMAC>,*,0x0800,17,*,123,*,144.76.76.107,forward
*,*,0x0800,17,9999,*,*,*,forward
<sMAC>,*,0x0800,17,*,123,*,5.189.141.35,forward
<sMAC>,*,0x0800,17,*,123,*,207.34.48.31,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,*,0x0800,17,*,123,*,45.32.87.134,forward
<sMAC>,*,0x0800,17,*,123,*,178.62.68.79,forward
<sMAC>,*,0x0800,17,*,123,*,94.23.215.121,forward
*,*,0x0800,6,9999,*,*,*,forward
*,<dMAC>,0x0800,17,123,*,202.112.1.34,*,forward
*,<dMAC>,0x0800,17,123,*,94.23.215.121,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,<dMAC>,0x0800,17,123,*,130.255.77.87,*,forward
*,<dMAC>,0x0800,17,123,*,45.32.87.134,*,forward
*,<dMAC>,0x0800,17,123,*,207.34.48.31,*,forward
*,<dMAC>,0x0800,17,123,*,144.76.76.107,*,forward
*,<dMAC>,0x0800,17,123,*,178.62.68.79,*,forward
*,<dMAC>,0x0800,17,123,*,129.6.15.29,*,forward
*,*,0x0800,6,*,9999,*,*,forward
*,<dMAC>,0x0800,17,123,*,192.36.143.130,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,17,123,*,5.189.141.35,*,forward
*,<dMAC>,0x0800,6,50443,*,175.41.186.37,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
