sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,0x0800,17,*,10003,*,3.248.233.164,forward
<sMAC>,*,0x0800,6,*,8090,*,54.74.39.221,forward
<sMAC>,*,0x0800,6,*,80,*,208.92.55.233,forward
<sMAC>,*,0x0800,17,*,123,*,128.199.23.217,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,17,*,123,*,129.70.132.35,forward
<sMAC>,*,0x0800,17,*,10002,*,3.248.233.164,forward
*,*,0x0800,17,*,53,*,*,forward
<sMAC>,*,0x0800,6,*,80,*,192.173.28.211,forward
<sMAC>,*,0x0800,6,*,80,*,144.76.157.132,forward
<sMAC>,*,0x0800,6,*,80,*,49.44.119.186,forward
*,*,0x0800,17,*,67,*,*,forward
<sMAC>,*,0x0800,6,*,5228,*,3.248.233.164,forward
<sMAC>,*,0x0800,6,*,80,*,52.95.131.23,forward
<sMAC>,*,0x0800,17,*,5353,*,224.0.0.251,forward
<sMAC>,*,0x0800,6,*,443,*,3.248.5.114,forward
<sMAC>,*,0x0800,17,*,123,*,128.199.23.44,forward
<sMAC>,*,0x0800,6,*,80,*,225.250.152.41,forward
<sMAC>,*,0x0800,6,*,80,*,91.121.58.223,forward
<sMAC>,*,0x0800,6,*,80,*,208.80.54.71,forward
*,*,0x0800,17,53,*,*,*,forward
*,<dMAC>,0x0800,6,80,*,144.76.157.132,*,forward
*,<dMAC>,0x0800,17,123,*,129.70.132.35,*,forward
*,<dMAC>,0x0800,6,80,*,52.95.131.23,*,forward
*,<dMAC>,0x0800,6,80,*,208.92.55.233,*,forward
*,<dMAC>,0x0800,6,80,*,192.173.28.211,*,forward
*,<dMAC>,0x0800,6,80,*,208.80.54.71,*,forward
*,<dMAC>,0x0800,6,5228,*,3.248.233.164,*,forward
*,<dMAC>,0x0800,17,10002,*,3.248.233.164,*,forward
*,<dMAC>,0x0800,6,80,*,91.121.58.223,*,forward
*,<dMAC>,0x0800,6,80,*,49.44.119.186,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,6,443,*,3.248.5.114,*,forward
*,<dMAC>,0x0800,6,80,*,225.250.152.41,*,forward
*,<dMAC>,0x0800,17,123,*,128.199.23.217,*,forward
*,<dMAC>,0x0800,17,123,*,128.199.23.44,*,forward
*,<dMAC>,0x0800,6,8090,*,54.74.39.221,*,forward
*,*,*,58,*,*,*,*,forward
*,*,*,17,*,5353,*,*,forward
*,*,*,0,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
*,*,0x888e,*,*,*,*,*,forward
