sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,0x0800,6,*,8443,*,50.17.242.103,forward
*,*,0x0800,17,*,67,*,*,forward
<sMAC>,*,*,2,*,*,*,224.0.0.22,forward
<sMAC>,*,0x0800,17,*,1900,*,239.255.255.250,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
*,*,0x0800,6,*,3478,*,*,forward
<sMAC>,*,0x0800,1,*,*,*,208.67.222.222,forward
<sMAC>,*,0x0800,17,*,123,*,129.132.2.21,forward
*,*,0x0800,1,*,*,*,*,forward
<sMAC>,*,0x0800,1,*,*,*,4.2.2.2,forward
*,*,0x0800,17,*,53,*,*,forward
*,*,0x0800,6,49154,*,*,*,forward
<sMAC>,*,0x0800,17,*,123,*,130.149.17.8,forward
*,*,0x0800,17,*,*,*,*,forward
<sMAC>,*,0x0800,6,*,3475,*,3.229.218.222,forward
<sMAC>,*,0x0800,1,*,*,*,8.8.8.8,forward
*,*,0x0800,6,49153,*,*,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,*,0x0800,6,*,49153,*,*,forward
*,<dMAC>,0x0800,17,123,*,130.149.17.8,*,forward
*,<dMAC>,0x0800,17,123,*,129.132.2.21,*,forward
*,<dMAC>,0x0800,1,*,*,4.2.2.2,*,forward
*,*,0x0800,6,*,49154,*,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,1,*,*,8.8.8.8,*,forward
*,<dMAC>,0x0800,1,*,*,208.67.222.222,*,forward
*,*,0x0800,6,3478,*,*,*,forward
*,<dMAC>,0x0800,6,3475,*,3.229.218.222,*,forward
*,<dMAC>,0x0800,6,8443,*,50.17.242.103,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
