sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
<sMAC>,*,*,2,*,*,*,224.0.0.22,forward
<sMAC>,*,0x0800,6,*,8443,*,184.73.174.14,forward
<sMAC>,*,0x0800,17,*,1900,*,239.255.255.250,forward
<sMAC>,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255,forward
<sMAC>,*,0x0800,17,*,123,*,129.132.2.21,forward
*,*,0x0800,1,*,*,*,*,forward
<sMAC>,*,0x0800,6,*,3478,*,174.129.217.97,forward
<sMAC>,*,0x0800,6,*,8899,*,52.23.33.88,forward
<sMAC>,*,*,2,*,*,*,239.255.255.250,forward
*,*,0x0800,17,*,53,*,*,forward
*,*,0x0800,6,49152,*,*,*,forward
*,*,0x0800,17,*,*,*,*,forward
<sMAC>,*,*,2,*,*,*,224.0.0.2,forward
<sMAC>,*,0x0800,17,*,123,*,132.163.4.102,forward
*,*,0x0800,6,49153,*,*,*,forward
*,<dMAC>,0x0800,17,123,*,129.132.2.21,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,*,0x0800,6,*,49153,*,*,forward
*,<dMAC>,0x0800,6,8443,*,184.73.174.14,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,<dMAC>,0x0800,6,8899,*,52.23.33.88,*,forward
*,*,0x0800,6,*,49152,*,*,forward
*,<dMAC>,0x0800,17,123,*,132.163.4.102,*,forward
*,<dMAC>,0x0800,6,3478,*,174.129.217.97,*,forward
*,*,*,0,*,*,*,*,forward
*,*,*,58,*,*,*,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
